,city,job_title,company_name,location,summary,salary
445,San+Francisco+CA,Data Scientist,eBay Inc.,"San Francisco, CA",Work also involves building production facing user components which heavily rely on data mining and machine learning....,
446,San+Francisco+CA,Product Scientist: Data Science,Indeed,"San Francisco, CA","While machine learning is one tool in our toolbox, Product Scientists use a variety of skills with the goal of driving business impact using whatever tools...",
447,San+Francisco+CA,Junior Data Analyst,Realogy Corporate,"Emeryville, CA","You’re excited about working closely with ZapLabs’ data scientists, product managers, engineers, and senior leadership to provide insights and analyses that...",
448,San+Francisco+CA,Data Scientist,BlueVine,"Redwood City, CA","Your work will include applying machine learning methods for data mining, performing statistical analyses and building prediction models critical to maintaining...",
449,San+Francisco+CA,Behavioral Data Scientist,Uber,"San Francisco, CA 94103 (South Of Market area)",Machine learning experience. The mission of the Labs team is to leverage applied behavioral science to power products and cities....,
450,San+Francisco+CA,Data Scientist - SAP.iO Studio,SAP,"San Francisco, CA","Proven experience in data mining, machine learning, deep learning, and/or data science development. Data Scientist - SAP.iO....",
451,San+Francisco+CA,Data Scientist - SAP.iO Atlas,SAP,"San Francisco, CA","Proven experience in data mining, machine learning, deep learning, and/or data science development. Google or web analytics analysis, sequence mining, network...",
452,San+Francisco+CA,Data Scientist - 47178BR,Aetna,"San Francisco, CA",Strong knowledge of advanced analytics tools and languages to analyze large data sets from multiple data sources....,
453,San+Francisco+CA,"Product Analyst, Data Science",Google,"San Bruno, CA","Deep interest and aptitude in data, metrics, analysis and trends and applied knowledge of measurement, statistics and program evaluation....",
454,San+Francisco+CA,Data Scientist,Bold Metrics,"San Francisco Bay Area, CA","Fluent in data fundamentals including SQL and data manipulation using a procedural language. Define problems, research solutions, and figure out which data to...",
455,San+Francisco+CA,Machine Learning Engineering Intern,thredUP Inc,"San Francisco, CA 94104 (Financial District area)",Our machine learning team is using this data to automate what is currently manual labor in our nationwide network of distribution centers....,
456,San+Francisco+CA,Machine Learning Scientist,System1 Biosciences,"San Francisco, CA",Mentor and cross-train with other ML scientists via academic-style discussions and reviews. We’re building a world-class high-throughput bioscience data...,
457,San+Francisco+CA,Mass Spectrometry Data Scientist,Genedata,"San Francisco, CA 94105 (Financial District area)","We are looking for a Mass Spectrometry Data Scientist to join our growing team of Scientific Account Managers, supporting the expansion of our highly innovative...",
458,San+Francisco+CA,"Data Scientist, Optimization",Uber,"San Francisco, CA 94105 (Financial District area)","We are looking for an entry/mid level data scientist to join our cross marketing data science team to apply statistical, machine learning, econometrics, time...",
459,San+Francisco+CA,Data Scientist / Predictive Modeler,M Theory Solutions,"Palo Alto, CA 94304",Ready to demonstrate your marketing analytics and data sciences prowess? You should be well-versed in machine learning algorithms – which is best for achieving...,
460,San+Francisco+CA,Data Scientist,Indeed,"San Francisco, CA","As a Data Scientist at Indeed your role is to follow the data. We are looking for a mixture between a statistician, scientist, machine learning expert and...",
461,Washington+DC,Data Scientist,"Connections Media, LLC.","Washington, DC 20009","We are looking for a talented Data Scientist to augment and scale our data analytics capability. The ideal candidate is comfortable with R statistical software,...",
462,Washington+DC,Data Scientist,Unisys,"Alexandria, VA 22314","Obtain, scrub, explore, model and interpret data currently stored in Oracle databases – using SQL and other data mining tools....",
463,Washington+DC,Computer Engineer / Computer Scientist,"General Technical Services, LLC","Adelphi Laboratory Center, MD","Analyzing technical data; Android development including user interfaces, interaction with available sensors and collection/analysis of continuous and...",
464,Washington+DC,Data Scientist,Central Intelligence Agency,"Washington, DC","Data Scientists organize and interpret Big Data to inform US decision makers, drive successful operations and shape CIA technology and resource investments....",
465,Washington+DC,Data Scientist,Monarch Recruiters,"Washington, DC",Work with data scientists to coordinate multifaceted scientific research and analytic activities that provides scientific and technical consultation....,
466,Washington+DC,Data Scientist,Deloitte,"Washington, DC 20004 (Downtown area)","By offering client-tailored services and deep industry insight, the Analytics team helps clients to seize new growth opportunities, maximize operational...",
467,Washington+DC,Data Scientist (REMOTE),CACI,"Washington, DC 20005 (Logan Circle area)","Work with information from a variety of sources, including electronic health record, patient registries, and clinical data sets using a variety of specific tool...",
468,Washington+DC,Top Secret - Data Scientist - Mid Level,"VISUAL SOFT, INC","Washington, DC",Work with data scientists to coordinate multifaceted scientific research and analytic activities that provides scientific and technical consultation....,
